Feature,KS,is_rosetta,topology,P-value
nres_sheet,0.12779436624168602,True,HEEH,0.043639626103004314
frac_sheet,0.12779436624168602,True,HEEH,0.043639626103004314
rama_prepro,0.1275099925746876,True,HEEH,0.04438211734397868
hbond_sc,0.12733620866707743,True,HEEH,0.044841233441115236
fa_rep,0.127266939935865,True,EEHEE,1.1620814922565568e-07
bb,0.12623031107319463,True,HEEH,0.04786046663585575
fa_rep,0.1255825710539204,True,HEEH,0.04970924504902996
Mean_L_entropy,0.12517018863980078,False,HHH,7.99822263974903e-09
H_range_entropy,0.12487163688642432,False,HEEH,0.0518090430546424
omega,0.1246820544417587,True,HEEH,0.05238172190930712
fa_rep_per_res,0.12403431442248448,True,HEEH,0.05437969861516412
loop_sc,0.12297841035540813,True,HHH,1.564546958654489e-08
hbond_bb_sc,0.12126957043777746,True,HEEH,0.06366093919294724
buns_bb_heavy,0.12077302920462656,True,EEHEE,6.092884846443067e-07
ss_sc,0.12038898782737469,True,EHEE,2.502506059043341e-07
bb,0.11968578116089491,True,HHH,4.192386271473225e-08
Mean_L_entropy,0.1181730571749056,False,HEEH,0.07562835540085189
hbond_sc,0.11573056773639873,True,EEHEE,2.0777222407354624e-06
pack,0.11555428240266004,True,HHH,1.3902653261954612e-07
T1_netq,0.11333236001870543,True,EEHEE,3.6559472455881384e-06
contig_not_hp_avg_norm,0.11319651800243298,True,HEEH,0.09882147233878436
hbond_sr_bb,0.11234339700143767,True,HEEH,0.10333860858785004
two_core_each,0.11185364235271814,True,HEEH,0.10600814120571267
buried_over_exposed,0.11153458881498428,True,HHH,4.284987111802252e-07
omega,0.11124834836560005,True,EHEE,2.5478227158037825e-06
abego_res_profile_penalty,0.1103053857212822,True,HEEH,0.11482447305055132
Tend_absq,0.11013005607922682,True,EEHEE,7.632814814994338e-06
nearest_chymo_cut_to_term,0.10958957578868955,True,HHH,7.283018303994027e-07
holes,0.10945202972835534,True,EHEE,3.933085922502855e-06
avg_all_frags,0.10812518760762753,True,HEEH,0.128252693857962
buns_bb_heavy,0.10787241101474003,True,HEEH,0.12988925753765856
percent_core_SCN,0.10717727538429941,True,HEEH,0.13447714144331846
res_count_core_SCN,0.10717727538429941,True,HEEH,0.13447714144331846
fa_sol,0.10672617225742047,True,EEHEE,1.6309756097225654e-05
nres_loop,0.1065357089127211,True,EEHEE,1.7005656865439595e-05
abego_res_profile,0.10651373682796973,True,HEEH,0.13897826177426165
degree,0.10649793829091427,True,HEEH,0.13908658599980606
fa_dun_rot,0.10580194430082406,True,EHEE,9.299802709361593e-06
Mean_res_entropy,0.10489601961253679,False,EEHEE,2.429239435913151e-05
abego_res_profile_penalty,0.1045318803512667,True,HHH,2.7673454193744007e-06
Tminus1_absq,0.10430669653970624,True,EHEE,1.3124434773525984e-05
abego_res_profile,0.10290949433834738,True,EEHEE,3.714407227215362e-05
tryp_cut_sites,0.10256410256410256,True,HEEH,0.16834214381975232
buried_over_exposed,0.10046289713572523,True,HEEH,0.185854739158415
L_range_entropy,0.09869346098551274,False,HEEH,0.20167845296027465
abego_res_profile,0.0983448865342911,True,HHH,1.3006946286142629e-05
degree,0.0969688166297474,True,EEHEE,0.00012599530818667405
nearest_chymo_cut_to_Cterm,0.09691258952683258,True,HHH,1.8350298248481778e-05
fa_dun_semi,0.0966327458159065,True,HHH,1.9622046943945648e-05
buns_nonheavy,0.09630788189013698,True,HEEH,0.22463034904934032
hbond_lr_bb,0.09629181948817979,True,EEHEE,0.00014414662040833237
Tend_absq,0.09619161299519775,True,EHEE,7.798790110435938e-05
nearest_tryp_cut_to_term,0.09538370343711587,True,HHH,2.6374673282925087e-05
holes,0.09532151594579898,True,HHH,2.675079527958424e-05
fa_dun_dev,0.09505979746275495,True,HEEH,0.23740035084720368
Mean_L_entropy,0.09357559432242031,False,EHEE,0.00013429510148321722
frac_helix,0.0935747349795409,True,HEEH,0.2532925033431599
nres_helix,0.0935747349795409,True,HEEH,0.2532925033431599
E_max_entropy,0.09302398566774966,False,EHEE,0.00015034022526416724
pro_close,0.09254292590823508,True,HHH,5.0933793149354756e-05
one_core_each,0.09250852431729381,True,HHH,5.1304762272774695e-05
nearest_chymo_cut_to_Nterm,0.09239539600862157,True,HHH,5.2675226619780524e-05
fa_rep,0.09229219123579777,True,HHH,5.3891846405584864e-05
